source	pathway_id	pathway_name	bg_eligible_genes
GO_BP	GO:0001971	negative regulation of activation of membrane attack complex	1
GO_BP	GO:0001973	G protein-coupled adenosine receptor signaling pathway	2
GO_BP	GO:0001974	blood vessel remodeling	13
GO_BP	GO:0001975	response to amphetamine	1
GO_BP	GO:0001976	nervous system process involved in regulation of systemic arterial blood pressure	2
GO_BP	GO:0001991	regulation of systemic arterial blood pressure by circulatory renin-angiotensin	1
GO_BP	GO:0001992	regulation of systemic arterial blood pressure by vasopressin	2
GO_BP	GO:0001994	norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure	1
GO_BP	GO:0001996	positive regulation of heart rate by epinephrine-norepinephrine	1
GO_BP	GO:0002000	detection of renal blood flow	1
GO_BP	GO:0002001	renin secretion into blood stream	1
GO_BP	GO:0002003	angiotensin maturation	6
GO_BP	GO:0002009	morphogenesis of an epithelium	11
GO_BP	GO:0002011	morphogenesis of an epithelial sheet	3
GO_BP	GO:0002021	response to dietary excess	1
GO_BP	GO:0002024	diet induced thermogenesis	3
GO_BP	GO:0002025	norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure	3
GO_BP	GO:0002026	regulation of the force of heart contraction	7
GO_BP	GO:0002027	regulation of heart rate	18
GO_BP	GO:0002028	regulation of sodium ion transport	14
GO_BP	GO:0002029	desensitization of G protein-coupled receptor signaling pathway	6
GO_BP	GO:0002031	G protein-coupled receptor internalization	4
GO_BP	GO:0002034	maintenance of blood vessel diameter homeostasis by renin-angiotensin	1
GO_BP	GO:0002037	negative regulation of L-glutamate import across plasma membrane	1
GO_BP	GO:0002038	positive regulation of L-glutamate import across plasma membrane	1
GO_BP	GO:0002040	sprouting angiogenesis	29
GO_BP	GO:0002042	cell migration involved in sprouting angiogenesis	20
GO_BP	GO:0002043	blood vessel endothelial cell proliferation involved in sprouting angiogenesis	6
GO_BP	GO:0002052	positive regulation of neuroblast proliferation	10
GO_BP	GO:0002053	positive regulation of mesenchymal cell proliferation	9
GO_BP	GO:0002062	chondrocyte differentiation	23
GO_BP	GO:0002063	chondrocyte development	5
GO_BP	GO:0002064	epithelial cell development	1
GO_BP	GO:0002070	epithelial cell maturation	2
GO_BP	GO:0002074	extraocular skeletal muscle development	1
GO_BP	GO:0002076	osteoblast development	6
GO_BP	GO:0002078	membrane fusion involved in acrosome reaction	1
GO_BP	GO:0002082	regulation of oxidative phosphorylation	8
GO_BP	GO:0002084	protein depalmitoylation	6
GO_BP	GO:0002087	regulation of respiratory gaseous exchange by nervous system process	3
GO_BP	GO:0002088	lens development in camera-type eye	9
GO_BP	GO:0002089	lens morphogenesis in camera-type eye	4
GO_BP	GO:0002090	regulation of receptor internalization	4
GO_BP	GO:0002091	negative regulation of receptor internalization	11
GO_BP	GO:0002092	positive regulation of receptor internalization	15
GO_BP	GO:0002098	tRNA wobble uridine modification	8
GO_BP	GO:0002099	tRNA wobble guanine modification	2
GO_BP	GO:0002100	tRNA wobble adenosine to inosine editing	1
GO_BP	GO:0002101	tRNA wobble cytosine modification	2
GO_BP	GO:0002115	store-operated calcium entry	7
GO_BP	GO:0002125	maternal aggressive behavior	2
GO_BP	GO:0002127	tRNA wobble base cytosine methylation	1
GO_BP	GO:0002128	tRNA nucleoside ribose methylation	2
GO_BP	GO:0002130	wobble position ribose methylation	2
GO_BP	GO:0002138	retinoic acid biosynthetic process	2
GO_BP	GO:0002143	tRNA wobble position uridine thiolation	4
GO_BP	GO:0002154	thyroid hormone receptor signaling pathway	3
GO_BP	GO:0002157	positive regulation of thyroid hormone receptor signaling pathway	3
GO_BP	GO:0002158	osteoclast proliferation	1
GO_BP	GO:0002159	desmosome assembly	5
GO_BP	GO:0002160	desmosome maintenance	1
GO_BP	GO:0002175	protein localization to paranode region of axon	2
GO_BP	GO:0002181	cytoplasmic translation	29
GO_BP	GO:0002183	cytoplasmic translational initiation	10
GO_BP	GO:0002184	cytoplasmic translational termination	1
GO_BP	GO:0002188	translation reinitiation	3
GO_BP	GO:0002190	cap-independent translational initiation	1
GO_BP	GO:0002191	cap-dependent translational initiation	4
GO_BP	GO:0002192	IRES-dependent translational initiation of linear mRNA	1
GO_BP	GO:0002204	somatic recombination of immunoglobulin genes involved in immune response	1
GO_BP	GO:0002218	activation of innate immune response	21
GO_BP	GO:0002221	pattern recognition receptor signaling pathway	5
GO_BP	GO:0002222	stimulatory killer cell immunoglobulin-like receptor signaling pathway	1
GO_BP	GO:0002223	stimulatory C-type lectin receptor signaling pathway	13
GO_BP	GO:0002224	toll-like receptor signaling pathway	17
GO_BP	GO:0002227	innate immune response in mucosa	2
GO_BP	GO:0002228	natural killer cell mediated immunity	1
GO_BP	GO:0002230	positive regulation of defense response to virus by host	16
GO_BP	GO:0002232	leukocyte chemotaxis involved in inflammatory response	3
GO_BP	GO:0002237	response to molecule of bacterial origin	1
GO_BP	GO:0002244	hematopoietic progenitor cell differentiation	11
GO_BP	GO:0002246	wound healing involved in inflammatory response	1
GO_BP	GO:0002248	connective tissue replacement involved in inflammatory response wound healing	3
GO_BP	GO:0002250	adaptive immune response	21
