node_index,gene_id,gene_symbol,baseMean_primary,lfc_shrunk_primary,pvalue_primary,padj_primary,analysis_eligible_primary
14347,ENSG00000198643,FAM3D,NA,NA,NA,NA,False
14348,ENSG00000198646,NCOA6,1479.21457049915,0.0508967247598782,0.617944254341444,0.749082669726369,True
14349,ENSG00000198648,STK39,3560.21184439066,-0.743814871796063,2.88062147383911e-14,2.5335368025506598e-12,True
14350,ENSG00000198650,TAT,NA,NA,NA,NA,False
14351,ENSG00000198663,C6orf89,1912.36541954773,-0.0778342194418836,0.301004674523281,0.465707441441667,True
14352,ENSG00000198668,CALM1,78047.7285550064,-0.173347726148952,0.149098108299929,0.286685049394313,True
14353,ENSG00000198673,TAFA2,1685.02136387758,0.0075530609852984,0.935601053465489,0.96522471080596,True
14354,ENSG00000198674,OR10G6,NA,NA,NA,NA,False
14355,ENSG00000198677,SKIC3,773.498968539538,-0.025532056967258,0.701217256772027,0.8100679193921,True
14356,ENSG00000198678,OR5BS1P,NA,NA,NA,NA,False
14357,ENSG00000198680,TUSC1,198.220653748021,0.161011044819819,0.160245469945216,0.302160011319488,True
14358,ENSG00000198682,PAPSS2,566.619310586748,0.132651867171737,0.307475094049613,0.47257903676671,True
14359,ENSG00000198689,SLC9A6,5390.15194987446,0.128428940579296,0.155475359456316,0.295916101071745,True
14360,ENSG00000198690,FAN1,326.216705949547,0.058140404622855,0.563986578998547,0.705656506572297,True
14361,ENSG00000198691,ABCA4,101.162762306545,-0.0046189590586458,0.943604956395938,0.969998302379326,True
14362,ENSG00000198695,MT-ND6,42108.6590344025,-0.303121471843224,0.000583861640326,0.004102361927587,True
14363,ENSG00000198700,IPO9,5061.16412005122,-0.0419214991746775,0.57325607660784,0.713069100533755,True
14364,ENSG00000198704,GPX6,NA,NA,NA,NA,False
14365,ENSG00000198707,CEP290,443.282639604324,-0.28327366718196,0.0083608523948295,0.0330051602541653,True
14366,ENSG00000198712,MT-CO2,1415.27889451451,0.0371044827282206,0.433652960841663,0.596723554541094,True
14367,ENSG00000198715,GLMP,1008.99725026041,-0.322822679299458,7.24118316539007e-05,0.0007434478422131,True
14368,ENSG00000198718,TOGARAM1,1518.56913649057,0.224508795434748,0.0002427108436075,0.0020122440870482,True
14369,ENSG00000198719,DLL1,232.219692609738,0.131910190067207,0.254486090554918,0.415031911530887,True
14370,ENSG00000198720,ANKRD13B,1345.62165619854,0.112238815995578,0.23456656770206,0.394035491116444,True
14371,ENSG00000198722,UNC13B,623.686360580754,0.077135363169813,0.51805820068841,0.669573321350132,True
14372,ENSG00000198723,SAXO5,NA,NA,NA,NA,False
14373,ENSG00000198727,MT-CYB,209422.937726381,-0.250335107171359,0.0056241655919012,0.024374614283026,True
14374,ENSG00000198728,LDB1,2320.72595659703,0.304164844073657,1.76911957281014e-09,6.82521989792428e-08,True
14375,ENSG00000198729,PPP1R14C,684.460506010652,0.486758309807202,8.48303523830782e-10,3.54455595322915e-08,True
14376,ENSG00000198730,CTR9,2563.02614562121,-0.318098389206447,0.0020962917721913,0.0113154770896353,True
14377,ENSG00000198732,SMOC1,1111.97155004397,0.701381964523925,0.0028158133673104,0.0142570389374653,True
14378,ENSG00000198734,F5,136.944993597537,-0.0942590741954304,0.110530124196994,0.231419572503011,True
14379,ENSG00000198736,MSRB1,634.040514192529,-0.385735663158369,0.0079092799183252,0.0316396353475751,True
14380,ENSG00000198739,LRRTM3,1143.98780852572,-0.0879404524557676,0.321140997017613,0.486801291971859,True
14381,ENSG00000198740,ZNF652,1767.34171632871,0.0821649540238329,0.249856303215337,0.41007995896376,True
14382,ENSG00000198742,SMURF1,1412.83006422337,0.0468586794805223,0.479867730630226,0.637441534446171,True
14383,ENSG00000198743,SLC5A3,1984.14526789483,0.561713734003567,0.0004959709541135,0.0035967999534739,True
14384,ENSG00000198746,GPATCH3,144.894985556441,-0.0333230358850528,0.755361537473513,0.847893614761396,True
14385,ENSG00000198752,CDC42BPB,3342.92971032669,0.124433342029589,0.0766189444796787,0.176457876711393,True
14386,ENSG00000198753,PLXNB3,1054.27118370586,-0.205111863657918,0.121575260867774,0.247940985233338,True
14387,ENSG00000198756,COLGALT2,221.96556076616,-0.197910983088735,0.156164781018357,0.296689494088803,True
14388,ENSG00000198758,EPS8L3,NA,NA,NA,NA,False
14389,ENSG00000198759,EGFL6,179.634469369264,-0.396939572423508,0.0177089393588308,0.0594886031826963,True
14390,ENSG00000198763,MT-ND2,123255.624495955,-0.446423567832772,1.90934840800586e-05,0.0002483337634693,True
14391,ENSG00000198765,SYCP1,NA,NA,NA,NA,False
14392,ENSG00000198771,RCSD1,445.301071158459,-0.771184444486237,0.002318191514317,0.0122403970902421,True
14393,ENSG00000198774,RASSF9,84.1446486954811,-0.118065344121721,0.351406675853507,0.517886309141031,True
