node_index,gene_id,gene_symbol,graph_degree
12725,ENSG00000181284,TMEM102,0
12726,ENSG00000181291,TMEM132E,0
12727,ENSG00000181315,ZNF322,0
12728,ENSG00000181322,NME9,0
12729,ENSG00000181323,SPEM1,0
12730,ENSG00000181333,HEPHL1,0
12731,ENSG00000181350,LRRC75A,0
12732,ENSG00000181371,OR5M8,0
12733,ENSG00000181378,CFAP65,0
12734,ENSG00000181392,SYNE4,4
12735,ENSG00000181396,OGFOD3,0
12736,ENSG00000181409,AATK,0
12737,ENSG00000181418,DDN,1
12738,ENSG00000181444,ZNF467,0
12739,ENSG00000181449,SOX2,20
12740,ENSG00000181467,RAP2B,2
12741,ENSG00000181472,ZBTB2,0
12742,ENSG00000181513,ACBD4,2
12743,ENSG00000181518,OR8D4,0
12744,ENSG00000181523,SGSH,0
12745,ENSG00000181541,MAB21L2,0
12746,ENSG00000181555,SETD2,7
12747,ENSG00000181585,TMIE,4
12748,ENSG00000181588,MEX3D,0
12749,ENSG00000181609,OR52D1,0
12750,ENSG00000181610,MRPS23,93
12751,ENSG00000181616,OR52H1,0
12752,ENSG00000181619,GPR135,0
12753,ENSG00000181631,P2RY13,0
12754,ENSG00000181634,TNFSF15,1
12755,ENSG00000181638,ZFP41,0
12756,ENSG00000181649,PHLDA2,0
12757,ENSG00000181652,ATG9B,1
12758,ENSG00000181656,GPR88,3
12759,ENSG00000181690,PLAG1,0
12760,ENSG00000181704,YIPF6,0
12761,ENSG00000181722,ZBTB20,0
12762,ENSG00000181744,DIPK2A,12
12763,ENSG00000181751,MACIR,0
12764,ENSG00000181754,AMIGO1,0
12765,ENSG00000181773,GPR3,1
12766,ENSG00000181778,TMEM252,0
12767,ENSG00000181781,CIMAP1D,0
12768,ENSG00000181785,OR5AS1,0
12769,ENSG00000181786,ACTL9,0
12770,ENSG00000181788,SIAH2,5
12771,ENSG00000181789,COPG1,16
12772,ENSG00000181790,ADGRB1,2
12773,ENSG00000181803,OR6S1,0
12774,ENSG00000181804,SLC9A9,0
12775,ENSG00000181817,LSM10,10
12776,ENSG00000181826,RELL1,0
12777,ENSG00000181827,RFX7,0
12778,ENSG00000181830,SLC35C1,0
12779,ENSG00000181847,TIGIT,7
